"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-7268-2536","5c0f85fada562944ac9207ba","xinle tan","","xinle tan","xinle tan","benjamin l schulz"
"0000-0003-2601-5529","53e9b917b7602d97044ffa93","bocchetta","","alberto bocchetta","a. bocchetta","m.p. piccardi"
"0000-0002-0719-6427","53e9ba39b7602d9704647b3e","mcpherson","","michael mcpherson","m. mcpherson","m. rogers"
"0000-0001-9730-5932","557f4f69f6678c77ea229879","combettes","","patrick l. combettes","combettes, p.l.","puh, h."
"0000-0001-9281-5458","55a3f9ba65ce5cd7b3befdbf","el haddad","","josette el haddad","el haddad j","motto-ros v"
"0000-0003-3801-4857","53e9b7d9b7602d9704388901","yamaguchi","","hiroshi yamaguchi","h yamaguchi","y hirayama"
"0000-0003-3344-7207","53e9ab90b7602d970353c191","luigi xodo","","luigi xodo","luigi xodo","cinzia lombardo"
"0000-0002-1444-1080","53e9b008b7602d9703a5e68f","james west","","james west","james west","graham mark turner"
"0000-0003-3395-5973","55a4d1c765ceb7cb02d90fea","bernardino","","liliana bernardino","bernardino liliana","ferreira lino"
"0000-0003-4460-9371","53e9a94cb7602d970329f0f3","joan ribot","","joan ribot","joan ribot","adrian wyss"
"0000-0001-7678-9827","55a5e55c65cead59c82ec15e","guszkowska","","monika guszkowska","guszkowska m","zagórska a"
"0000-0003-1636-8734","55a46abcc91b587b097b28b1","chervenkov","","sotir chervenkov","chervenkov sotir","karaminkov rosen"
"0000-0002-2370-8496","55509eb40cf2fd51c8f947b9","fitzgerald","","tomas fitzgerald","fitzgerald tomas","massaia andrea"
"0000-0003-0660-1854","53e9a46bb7602d9702d88f35","baranowski","","eric baranowski","baranowski e","van oirschot j t"
"0000-0002-5348-3435","56d8edffdabfae2eee62c374","xiaolin ma","","xiaolin ma","xiaolin ma","le xin"
"0000-0002-7410-3198","55a5581365ceb7cb02e90700","tettamanti","","camilla tettamanti","tettamanti camilla","verdiani simonetta"
"0000-0002-6608-8311","5489125e45ce471f90af25d9","xingli zou","","xingli zou","xingli zou","xionggang lu"
"0000-0001-6126-9984","55a423b065ce5cd7b3c5d3d0","di bussolo","","valeria di bussolo","di bussolo valeria","crotti paolo"
"0000-0002-5828-0741","56361c5f0cf248dacf934687","nakatogawa","","hitoshi nakatogawa","nakatogawa hitoshi","mochida keisuke"
"0000-0002-7215-2009","55a49edd65ceb7cb02d45fb4","shokrollah","","shokrollah elahi","elahi shokrollah","niki toshiro"
